X_id,operator_registration_number,postal_code,ward_number,ward_name
1708514,STR-2009-HBCKPJ,M6G,11,University-Rosedale
1708515,STR-2009-FFFXPB,M9B,3,Etobicoke-Lakeshore
1708516,STR-2009-FMLXPC,M4J,14,Toronto-Danforth
1708517,STR-2009-FVSXPD,M5J,10,Spadina-Fort York
1708518,STR-2009-HJYXPK,M1P,21,Scarborough Centre
1708519,STR-2009-HZLXPM,M6G,12,Toronto-St. Paul's
1708520,STR-2009-GLWKPG,M5J,10,Spadina-Fort York
1708521,STR-2009-GVCKPH,M1N,20,Scarborough Southwest
1708522,STR-2009-FPSXPC,M4S,12,Toronto-St. Paul's
1708523,STR-2009-FWYXPD,M6G,12,Toronto-St. Paul's
1708524,STR-2009-HCYXPJ,M6J,9,Davenport
1708525,STR-2009-HLFXPK,M9W,1,Etobicoke North
1708526,STR-2009-GPCKPG,M1V,23,Scarborough North
1708527,STR-2009-GWJKPH,M5V,10,Spadina-Fort York
1708528,STR-2009-FHSXPB,M6R,4,Parkdale-High Park
1708529,STR-2009-GGLXPF,M4Y,13,Toronto Centre
1708530,STR-2009-GWYXPH,M6P,4,Parkdale-High Park
1708531,STR-2009-HFFXPJ,M8V,3,Etobicoke-Lakeshore
1708532,STR-2009-JCYXPM,M5A,13,Toronto Centre
1708533,STR-2009-GXQKPH,M4C,19,Beaches-East York
1708534,STR-2009-FSFXPC,M1N,20,Scarborough Southwest
1708535,STR-2009-FZLXPD,M2N,18,Willowdale
1708536,STR-2009-GQYXPG,M9P,2,Etobicoke Centre
1708537,STR-2009-HWYXPL,M4Y,13,Toronto Centre
1708538,STR-2009-FSWKPC,M5B,13,Toronto Centre
1708539,STR-2009-GBCKPD,M6M,5,York South-Weston
1708540,STR-2009-GYWKPH,M4M,14,Toronto-Danforth
1708541,STR-2009-HHCKPJ,M1R,21,Scarborough Centre
1708542,STR-2009-HXQKPL,M5S,13,Toronto Centre
1708543,STR-2009-FLFXPB,M6A,8,Eglinton-Lawrence
1708544,STR-2009-FTLXPC,M1B,25,Scarborough-Rouge Park
1708545,STR-2009-GBSXPD,M6H,9,Davenport
1708546,STR-2009-GJYXPF,M1N,20,Scarborough Southwest
1708547,STR-2009-HHSXPJ,M6H,9,Davenport
1708548,STR-2009-HYFXPL,M1P,21,Scarborough Centre
1708549,STR-2009-GKRRPG,M6R,4,Parkdale-High Park
1708550,STR-2009-GSXRPH,M5A,13,Toronto Centre
1708551,STR-2009-HJKRPK,M5M,8,Eglinton-Lawrence
1708552,STR-2009-HYXRPM,M9W,1,Etobicoke North
1708553,STR-2009-GDBDPF,M1N,20,Scarborough Southwest
1708554,STR-2009-GLHDPG,M6P,9,Davenport
1708555,STR-2009-HZPDPM,M1E,24,Scarborough-Guildwood
1708556,STR-2009-FPDRPC,M2K,17,Don Valley North
1708557,STR-2009-GDRRPF,M6J,9,Davenport
1708558,STR-2009-GLXRPG,M6J,10,Spadina-Fort York
1708559,STR-2009-GVDRPH,M1L,20,Scarborough Southwest
1708560,STR-2009-HCKRPJ,M6N,9,Davenport
1708561,STR-2009-JBDRPM,M6R,4,Parkdale-High Park
1708562,STR-2009-FPVDPC,M4A,16,Don Valley East
1708563,STR-2009-GMPDPG,M6P,4,Parkdale-High Park
1708564,STR-2009-GVVDPH,M1E,25,Scarborough-Rouge Park
1708565,STR-2009-HTPDPL,M5A,13,Toronto Centre
1708566,STR-2009-FHDRPB,M6C,12,Toronto-St. Paul's
1708567,STR-2009-FXRRPD,M6J,10,Spadina-Fort York
1708568,STR-2009-GPDRPG,M9P,2,Etobicoke Centre
1708569,STR-2009-HLXRPK,M2K,17,Don Valley North
1708570,STR-2009-HVDRPL,M9W,1,Etobicoke North
1708571,STR-2009-FHVDPB,M4M,14,Toronto-Danforth
1708572,STR-2009-FYHDPD,M8V,3,Etobicoke-Lakeshore
1708573,STR-2009-GGPDPF,M4Y,13,Toronto Centre
1708574,STR-2009-GXBDPH,M4A,16,Don Valley East
1708575,STR-2009-HFHDPJ,M6J,10,Spadina-Fort York
1708576,STR-2009-HMPDPK,M6R,4,Parkdale-High Park
1708577,STR-2009-HVVDPL,M6G,11,University-Rosedale
1708578,STR-2009-GHDRPF,M5V,10,Spadina-Fort York
1708579,STR-2009-GQKRPG,M6J,10,Spadina-Fort York
1708580,STR-2009-GXRRPH,M4X,13,Toronto Centre
1708581,STR-2009-HPDRPK,M6S,4,Parkdale-High Park
1708582,STR-2009-HWKRPL,M8Z,3,Etobicoke-Lakeshore
1708583,STR-2009-JDRRPM,M3B,16,Don Valley East
1708584,STR-2009-FKBDPB,M4M,14,Toronto-Danforth
1708585,STR-2009-GRBDPG,M4C,19,Beaches-East York
1708586,STR-2009-GYHDPH,M1S,22,Scarborough-Agincourt
1708587,STR-2009-HGPDPJ,M1W,22,Scarborough-Agincourt
1708588,STR-2009-HPVDPK,M4M,14,Toronto-Danforth
1708589,STR-2009-HSYXPL,M1R,21,Scarborough Centre
1708590,STR-2009-FKRRPB,M6J,10,Spadina-Fort York
1708591,STR-2009-FSXRPC,M5J,10,Spadina-Fort York
1708592,STR-2009-GBDRPD,M5A,10,Spadina-Fort York
1708593,STR-2009-GRRRPG,M5A,13,Toronto Centre
1708594,STR-2009-GYXRPH,M2K,17,Don Valley North
1708595,STR-2009-HXRRPL,M6S,4,Parkdale-High Park
1708596,STR-2009-JFXRPM,M6E,9,Davenport
1708597,STR-2009-GBVDPD,M5R,11,University-Rosedale
1708598,STR-2009-GSHDPG,M5J,10,Spadina-Fort York
1708599,STR-2009-HHVDPJ,M5V,10,Spadina-Fort York
1708600,STR-2009-HRBDPK,M2J,17,Don Valley North
1708601,STR-2009-FDSXPB,M2H,17,Don Valley North
1708602,STR-2009-FLYXPC,M4M,14,Toronto-Danforth
1708603,STR-2009-GCLXPF,M1J,21,Scarborough Centre
1708604,STR-2009-HBFXPJ,M1T,22,Scarborough-Agincourt
1708605,STR-2009-FFJKPB,M6K,10,Spadina-Fort York
1708606,STR-2009-FMQKPC,M9W,1,Etobicoke North
1708607,STR-2009-FVWKPD,M6N,5,York South-Weston
1708608,STR-2009-GDCKPF,M1E,25,Scarborough-Rouge Park
1708609,STR-2009-GLJKPG,M1J,24,Scarborough-Guildwood
1708610,STR-2009-GTQKPH,M5R,11,University-Rosedale
1708611,STR-2009-HBWKPJ,M6H,9,Davenport
1708612,STR-2009-HZQKPM,M2J,17,Don Valley North
1708613,STR-2009-FWLXPD,M3M,6,York Centre
1708614,STR-2009-GDSXPF,M1W,22,Scarborough-Agincourt
1708615,STR-2009-GVFXPH,M4G,15,Don Valley West
1708616,STR-2009-FGQKPB,M5A,13,Toronto Centre
1708617,STR-2009-FPWKPC,M4W,11,University-Rosedale
1708618,STR-2009-GMQKPG,M5R,11,University-Rosedale
1708619,STR-2009-GVWKPH,M4W,11,University-Rosedale
1708620,STR-2009-HDCKPJ,M4A,16,Don Valley East
1708621,STR-2009-JBWKPM,M6S,4,Parkdale-High Park
1708622,STR-2009-FHFXPB,M1E,24,Scarborough-Guildwood
1708623,STR-2009-FXSXPD,M8W,3,Etobicoke-Lakeshore
1708624,STR-2009-GWLXPH,M1S,22,Scarborough-Agincourt
1708625,STR-2009-JCLXPM,M6P,4,Parkdale-High Park
1708626,STR-2009-FRCKPC,M4L,14,Toronto-Danforth
1708627,STR-2009-HMQKPK,M4C,19,Beaches-East York
1708628,STR-2009-HVWKPL,M5H,10,Spadina-Fort York
1708629,STR-2009-JDCKPM,M6J,11,University-Rosedale
1708630,STR-2009-FJLXPB,M4K,14,Toronto-Danforth
1708631,STR-2009-GQLXPG,M2N,18,Willowdale
1708632,STR-2009-HWLXPL,M3J,7,Humber River-Black Creek
1708633,STR-2010-FSJKPC,M4K,14,Toronto-Danforth
1708634,STR-2010-FZQKPD,M3L,6,York Centre
1708635,STR-2010-GRCKPG,M5T,11,University-Rosedale
1708636,STR-2010-GYJKPH,M4Y,13,Toronto Centre
1708637,STR-2010-HPWKPK,M4L,19,Beaches-East York
1708638,STR-2010-FKSXPB,M6R,4,Parkdale-High Park
1708639,STR-2010-FSYXPC,M3H,6,York Centre
1708640,STR-2010-GJLXPF,M5J,10,Spadina-Fort York
1708641,STR-2010-HHFXPJ,M5B,13,Toronto Centre
1708642,STR-2010-JFYXPM,M1R,21,Scarborough Centre
1708643,STR-2010-GBWKPD,M4S,12,Toronto-St. Paul's
1708644,STR-2010-GSJKPG,M6J,10,Spadina-Fort York
1708645,STR-2010-HHWKPJ,M6J,11,University-Rosedale
1708646,STR-2010-FVHDPD,M1N,20,Scarborough Southwest
1708647,STR-2010-HRVDPL,M6C,12,Toronto-St. Paul's
1708648,STR-2010-GMBDPG,M5J,10,Spadina-Fort York
1708649,STR-2010-HTBDPL,M8V,3,Etobicoke-Lakeshore
1708650,STR-2010-GMRRPG,M2J,17,Don Valley North
1708651,STR-2010-HDDRPJ,M6J,9,Davenport
1708652,STR-2010-HTRRPL,M6K,9,Davenport
1708653,STR-2010-FXVDPD,M1N,20,Scarborough Southwest
1708654,STR-2010-GPHDPG,M2J,17,Don Valley North
1708655,STR-2010-GWPDPH,M6R,4,Parkdale-High Park
1708656,STR-2010-FRDRPC,M1S,23,Scarborough North
1708657,STR-2010-GXDRPH,M6P,4,Parkdale-High Park
1708658,STR-2010-FRVDPC,M6J,10,Spadina-Fort York
1708659,STR-2010-GXVDPH,M4H,15,Don Valley West
1708660,STR-2010-HPHDPK,M1B,23,Scarborough North
1708661,STR-2010-HWPDPL,M9A,3,Etobicoke-Lakeshore
1708662,STR-2010-FKDRPB,M6R,4,Parkdale-High Park
1708663,STR-2010-FSKRPC,M1M,20,Scarborough Southwest
1708664,STR-2010-FZRRPD,M9B,3,Etobicoke-Lakeshore
1708665,STR-2010-GHXRPF,M6G,11,University-Rosedale
1708666,STR-2010-HPXRPK,M5M,8,Eglinton-Lawrence
1708667,STR-2010-HXDRPL,M4C,19,Beaches-East York
1708668,STR-2010-JFKRPM,M3N,7,Humber River-Black Creek
1708669,STR-2010-FKVDPB,M9C,2,Etobicoke Centre
1708670,STR-2010-HHHDPJ,M4K,14,Toronto-Danforth
1708671,STR-2010-HQPDPK,M5V,10,Spadina-Fort York
1708672,STR-2010-JGBDPM,M5V,10,Spadina-Fort York
1708673,STR-2010-FLKRPB,M6K,9,Davenport
1708674,STR-2010-HHXRPJ,M6J,9,Davenport
1708675,STR-2010-FMCKPC,M6E,9,Davenport
1708676,STR-2010-GTCKPH,M6P,9,Davenport
1708677,STR-2010-HBJKPJ,M1G,24,Scarborough-Guildwood
1708678,STR-2010-HRWKPL,M5B,13,Toronto Centre
1708679,STR-2010-FFLXPB,M1W,22,Scarborough-Agincourt
1708680,STR-2010-FMSXPC,M6S,4,Parkdale-High Park
1708681,STR-2010-GLLXPG,M5A,13,Toronto Centre
1708682,STR-2010-GTSXPH,M1M,20,Scarborough Southwest
1708683,STR-2010-FGCKPB,M6H,9,Davenport
1708684,STR-2010-FWQKPD,M5V,10,Spadina-Fort York
1708685,STR-2010-GDWKPF,M5S,13,Toronto Centre
1708686,STR-2010-GMCKPG,M4C,19,Beaches-East York
1708687,STR-2010-HKWKPK,M6N,5,York South-Weston
1708688,STR-2010-JBJKPM,M4L,19,Beaches-East York
1708689,STR-2010-FGSXPB,M6N,5,York South-Weston
1708690,STR-2010-FXFXPD,M1N,20,Scarborough Southwest
1708691,STR-2010-GFLXPF,M6H,9,Davenport
1708692,STR-2010-HLLXPK,M4X,13,Toronto Centre
1708693,STR-2010-FQQKPC,M4J,14,Toronto-Danforth
1708694,STR-2010-GGCKPF,M5A,13,Toronto Centre
1708695,STR-2010-HVJKPL,M3A,16,Don Valley East
1708696,STR-2010-FHYXPB,M6J,10,Spadina-Fort York
1708697,STR-2010-GPYXPG,M4C,19,Beaches-East York
1708698,STR-2010-GXFXPH,M6H,9,Davenport
1708699,STR-2010-HMSXPK,M6H,9,Davenport
1708700,STR-2010-HVYXPL,M5V,10,Spadina-Fort York
1708701,STR-2010-FJQKPB,M5J,10,Spadina-Fort York
1708702,STR-2010-GQQKPG,M5J,10,Spadina-Fort York
1708703,STR-2010-HGCKPJ,M4Y,13,Toronto Centre
1708704,STR-2010-HWQKPL,M6H,9,Davenport
1708705,STR-2010-FZSXPD,M1J,24,Scarborough-Guildwood
1708706,STR-2010-HPYXPK,M8V,3,Etobicoke-Lakeshore
1708707,STR-2010-JFLXPM,M5V,10,Spadina-Fort York
1708708,STR-2010-GBJKPD,M6R,4,Parkdale-High Park
1708709,STR-2010-GRWKPG,M8V,3,Etobicoke-Lakeshore
1708710,STR-2010-HQQKPK,M9C,2,Etobicoke Centre
1708711,STR-2010-GWBDPH,M1C,25,Scarborough-Rouge Park
1708712,STR-2010-HXWKPL,M5S,11,University-Rosedale
1708713,STR-2010-JGCKPM,M1N,20,Scarborough Southwest
1708714,STR-2010-FTSXPC,M9L,7,Humber River-Black Creek
1708715,STR-2010-GKFXPF,M6J,10,Spadina-Fort York
1708716,STR-2010-GSLXPG,M5V,10,Spadina-Fort York
1708717,STR-2010-GZSXPH,M6G,11,University-Rosedale
1708718,STR-2010-HHYXPJ,M4K,14,Toronto-Danforth
1708719,STR-2010-HRFXPK,M4L,19,Beaches-East York
1708720,STR-2010-JGSXPM,M4Y,13,Toronto Centre
1708721,STR-2010-FVKRPD,M6J,10,Spadina-Fort York
1708722,STR-2010-GKXRPG,M9V,1,Etobicoke North
1708723,STR-2010-HRXRPL,M5J,10,Spadina-Fort York
1708724,STR-2010-FFPDPB,M6E,9,Davenport
1708725,STR-2010-GDHDPF,M5J,10,Spadina-Fort York
1708726,STR-2010-GLPDPG,M5J,10,Spadina-Fort York
1708727,STR-2010-GTVDPH,M1R,21,Scarborough Centre
1708728,STR-2010-HZVDPM,M4L,19,Beaches-East York
1708729,STR-2010-GMDRPG,M6R,4,Parkdale-High Park
1708730,STR-2010-GVKRPH,M5S,11,University-Rosedale
1708731,STR-2010-HTDRPL,M6M,5,York South-Weston
1708732,STR-2010-FQBDPC,M4E,19,Beaches-East York
1708733,STR-2010-HDHDPJ,M6J,10,Spadina-Fort York
1708734,STR-2010-HLPDPK,M1M,20,Scarborough Southwest
1708735,STR-2010-JCBDPM,M6R,4,Parkdale-High Park
1708736,STR-2010-FHKRPB,M6B,8,Eglinton-Lawrence
1708737,STR-2010-GPKRPG,M6K,9,Davenport
1708738,STR-2010-JCRRPM,M5A,13,Toronto Centre
1708739,STR-2010-FYPDPD,M5E,10,Spadina-Fort York
1708740,STR-2010-GGVDPF,M5J,10,Spadina-Fort York
1708741,STR-2010-HFPDPJ,M5J,10,Spadina-Fort York
1708742,STR-2010-JDHDPM,M3J,7,Humber River-Black Creek
1708743,STR-2010-GHKRPF,M1G,24,Scarborough-Guildwood
1708744,STR-2010-GQRRPG,M5R,11,University-Rosedale
1708745,STR-2010-FSPDPC,M2P,15,Don Valley West
1708746,STR-2010-FZVDPD,M4L,14,Toronto-Danforth
1708747,STR-2010-GJBDPF,M8Z,3,Etobicoke-Lakeshore
1708748,STR-2010-HQBDPK,M6H,9,Davenport
1708749,STR-2010-JFPDPM,M6P,9,Davenport
1708750,STR-2010-FKXRPB,M8V,3,Etobicoke-Lakeshore
1708751,STR-2010-GBKRPD,M5S,13,Toronto Centre
1708752,STR-2010-GJRRPF,M4L,19,Beaches-East York
1708753,STR-2010-HHKRPJ,M6G,11,University-Rosedale
1708754,STR-2010-FLPDPB,M6S,4,Parkdale-High Park
1708755,STR-2010-HRHDPK,M5R,11,University-Rosedale
1708756,STR-2010-HYPDPL,M4L,19,Beaches-East York
1708757,STR-2010-FMFXPC,M5J,10,Spadina-Fort York
1708758,STR-2010-HZFXPM,M6C,12,Toronto-St. Paul's
1708759,STR-2010-FFQKPB,M6H,9,Davenport
1708760,STR-2010-FMWKPC,M5V,10,Spadina-Fort York
1708761,STR-2010-GLQKPG,M4J,14,Toronto-Danforth
1708762,STR-2010-HCCKPJ,M4Y,13,Toronto Centre
1708763,STR-2010-HKJKPK,M6P,4,Parkdale-High Park
1708764,STR-2010-GDYXPF,M1B,25,Scarborough-Rouge Park
1708765,STR-2010-GVLXPH,M4M,14,Toronto-Danforth
1708766,STR-2010-HKYXPK,M4S,12,Toronto-St. Paul's
1708767,STR-2010-GFQKPF,M8Y,3,Etobicoke-Lakeshore
1708768,STR-2010-GWCKPH,M5A,13,Toronto Centre
1708769,STR-2010-HLQKPK,M4G,15,Don Valley West
1708770,STR-2010-JCCKPM,M5V,10,Spadina-Fort York
1708771,STR-2010-FQSXPC,M5J,10,Spadina-Fort York
1708772,STR-2010-GGFXPF,M4K,14,Toronto-Danforth
1708773,STR-2010-HDYXPJ,M5V,10,Spadina-Fort York
1708774,STR-2010-HMFXPK,M1T,22,Scarborough-Agincourt
1708775,STR-2010-HVLXPL,M4M,14,Toronto-Danforth
1708776,STR-2010-HGWKPJ,M5A,13,Toronto Centre
1708777,STR-2010-GQCKPG,M4J,14,Toronto-Danforth
1708778,STR-2010-HFQKPJ,M5J,10,Spadina-Fort York
1708779,STR-2010-HMWKPK,M5J,10,Spadina-Fort York
1708780,STR-2010-JDJKPM,M3J,7,Humber River-Black Creek
1708781,STR-2010-GQSXPG,M5V,10,Spadina-Fort York
1708782,STR-2010-HGFXPJ,M4J,14,Toronto-Danforth
1708783,STR-2010-HPLXPK,M1N,20,Scarborough Southwest
1708784,STR-2010-JDYXPM,M5V,10,Spadina-Fort York
1708785,STR-2010-FSQKPC,M5T,11,University-Rosedale
1708786,STR-2010-GJCKPF,M5J,10,Spadina-Fort York
1708787,STR-2010-FTFXPC,M2R,6,York Centre
1708788,STR-2010-GZFXPH,M5V,10,Spadina-Fort York
1708789,STR-2010-HQSXPK,M5J,10,Spadina-Fort York
1708790,STR-2108-GVGHHH,M6J,9,Davenport
1708791,STR-2010-GKJKPF,M6M,5,York South-Weston
1708792,STR-2010-HJCKPJ,M5A,10,Spadina-Fort York
1708793,STR-2010-HRJKPK,M4L,19,Beaches-East York
1708794,STR-2010-HYQKPL,M5V,10,Spadina-Fort York
1708795,STR-2010-GCVDPF,M4N,15,Don Valley West
1708796,STR-2010-GTHDPH,M4X,13,Toronto Centre
1708797,STR-2010-HSBDPL,M1C,25,Scarborough-Rouge Park
1708798,STR-2010-FMXRPC,M6G,11,University-Rosedale
1708799,STR-2010-GDKRPF,M4J,14,Toronto-Danforth
1708800,STR-2010-GLRRPG,M4W,11,University-Rosedale
1708801,STR-2010-FGHDPB,M6K,9,Davenport
1708802,STR-2010-FPPDPC,M6P,4,Parkdale-High Park
1708803,STR-2010-GFBDPF,M6N,5,York South-Weston
1708804,STR-2010-JBPDPM,M9V,1,Etobicoke North
1708805,STR-2010-GMXRPG,M6J,11,University-Rosedale
1708806,STR-2010-GWDRPH,M8V,3,Etobicoke-Lakeshore
1708807,STR-2010-HTXRPL,M9R,1,Etobicoke North
1708808,STR-2010-JCDRPM,M5T,10,Spadina-Fort York
1708809,STR-2010-HMHDPK,M9P,2,Etobicoke Centre
1708810,STR-2010-HVPDPL,M5B,13,Toronto Centre
1708811,STR-2010-JCVDPM,M4L,14,Toronto-Danforth
1708812,STR-2010-GXKRPH,M6H,9,Davenport
1708813,STR-2010-HMXRPK,M4M,14,Toronto-Danforth
1708814,STR-2010-GYBDPH,M1E,24,Scarborough-Guildwood
1708815,STR-2010-HPPDPK,M4P,15,Don Valley West
1708816,STR-2010-HWVDPL,M5V,10,Spadina-Fort York
1708817,STR-2010-JFBDPM,M6J,10,Spadina-Fort York
1708818,STR-2212-JCSVHZ,M1J,21,Scarborough Centre
1708819,STR-2010-GRKRPG,M5J,10,Spadina-Fort York
1708820,STR-2010-GYRRPH,M5J,10,Spadina-Fort York
1708821,STR-2010-HQDRPK,M4L,19,Beaches-East York
1708822,STR-2010-GSBDPG,M6J,10,Spadina-Fort York
1708823,STR-2010-FTXRPC,M4M,14,Toronto-Danforth
1708824,STR-2010-HJDRPJ,M2N,18,Willowdale
1708825,STR-2010-HZJKPM,M5J,10,Spadina-Fort York
1708826,STR-2010-FWFXPD,M9C,2,Etobicoke Centre
1708827,STR-2010-GTYXPH,M5J,10,Spadina-Fort York
1708828,STR-2010-HKLXPK,M2N,18,Willowdale
1708829,STR-2010-HSSXPL,M6S,4,Parkdale-High Park
1708830,STR-2010-GFCKPF,M9P,2,Etobicoke Centre
1708831,STR-2010-GVQKPH,M5V,10,Spadina-Fort York
1708832,STR-2010-FGYXPB,M4S,12,Toronto-St. Paul's
1708833,STR-2010-HDLXPJ,M6J,10,Spadina-Fort York
1708834,STR-2010-GPQKPG,M6G,11,University-Rosedale
1708835,STR-2010-GWWKPH,M6J,9,Davenport
1708836,STR-2010-HFSXPJ,M2N,18,Willowdale
1708837,STR-2010-HMYXPK,M9N,5,York South-Weston
1708838,STR-2010-HWFXPL,M5V,10,Spadina-Fort York
1708839,STR-2010-GHQKPF,M4B,19,Beaches-East York
1708840,STR-2010-GQWKPG,M4L,14,Toronto-Danforth
1708841,STR-2010-HGJKPJ,M8Z,3,Etobicoke-Lakeshore
1708842,STR-2010-HWWKPL,M6K,10,Spadina-Fort York
1708843,STR-2010-FKLXPB,M6B,8,Eglinton-Lawrence
1708844,STR-2010-GJFXPF,M5J,10,Spadina-Fort York
1708845,STR-2010-GYSXPH,M4C,19,Beaches-East York
1708846,STR-2010-HGYXPJ,M5J,10,Spadina-Fort York
1708847,STR-2010-HXLXPL,M1B,25,Scarborough-Rouge Park
1708848,STR-2010-FLCKPB,M2H,17,Don Valley North
1708849,STR-2010-FTJKPC,M4L,19,Beaches-East York
1708850,STR-2010-GZJKPH,M6J,10,Spadina-Fort York
1708851,STR-2010-HJFXPJ,M6R,4,Parkdale-High Park
1708852,STR-2010-HRLXPK,M5V,10,Spadina-Fort York
1708853,STR-2010-HYSXPL,M3H,6,York Centre
1708854,STR-2010-JGYXPM,M6K,4,Parkdale-High Park
1708855,STR-2010-FDPDVB,M4L,19,Beaches-East York
1708856,STR-2010-FLVDVC,M5V,10,Spadina-Fort York
1708857,STR-2010-GKPDVG,M6K,10,Spadina-Fort York
1708858,STR-2010-GSVDVH,M4J,14,Toronto-Danforth
1708859,STR-2010-FVRRVD,M6J,11,University-Rosedale
1708860,STR-2010-GLDRVG,M9R,2,Etobicoke Centre
1708861,STR-2010-HJXRVK,M8V,3,Etobicoke-Lakeshore
1708862,STR-2010-HZKRVM,M4J,14,Toronto-Danforth
1708863,STR-2010-GDPDVF,M5T,11,University-Rosedale
1708864,STR-2010-HKPDVK,M5T,11,University-Rosedale
1708865,STR-2010-JBBDVM,M5E,10,Spadina-Fort York
1708866,STR-2010-GFDRVF,M5R,11,University-Rosedale
1708867,STR-2010-GMKRVG,M2H,17,Don Valley North
1708868,STR-2010-HCXRVJ,M4L,14,Toronto-Danforth
1708869,STR-2010-FQHDVC,M4N,15,Don Valley West
1708870,STR-2010-HDPDVJ,M4L,14,Toronto-Danforth
1708871,STR-2010-HLVDVK,M5V,10,Spadina-Fort York
1708872,STR-2010-JCHDVM,M4G,15,Don Valley West
1708873,STR-2010-HMKRVK,M3H,6,York Centre
1708874,STR-2010-HVRRVL,M4C,19,Beaches-East York
1708875,STR-2010-GHBDVF,M4S,12,Toronto-St. Paul's
1708876,STR-2010-GQHDVG,M5V,10,Spadina-Fort York
1708877,STR-2010-FZKRVD,M4W,11,University-Rosedale
1708878,STR-2010-GYDRVH,M8V,3,Etobicoke-Lakeshore
1708879,STR-2010-HPRRVK,M3N,7,Humber River-Black Creek
1708880,STR-2010-GBBDVD,M1R,21,Scarborough Centre
1708881,STR-2010-GRPDVG,M5J,10,Spadina-Fort York
1708882,STR-2010-GYVDVH,M4J,14,Toronto-Danforth
1708883,STR-2010-JFVDVM,M4Y,13,Toronto Centre
1708884,STR-2010-FLDRVB,M5J,10,Spadina-Fort York
1708885,STR-2010-HQXRVK,M6J,9,Davenport
